username	name	id	location	followers_count	friends_count	description
billboard	billboard	9695312	None	14101060	3548	music • charts • news • more | @billboardcharts • @billboarddance • @billboardhiphop • @billboardlatin • @billboardpride • @billboardpro
sonymusic	Sony Music	27943891	Worldwide	761059	1708	New music, exclusive content & more from Sony Music Entertainment’s diverse roster of artists 🎵
jimmykimmel	Jimmy Kimmel	26053643	Los Angeles	11744133	852	Businessperson
questlove	Dr. Love	14939981	Illadelph & Fi-Di NYC & 31Rock	3400650	9910	THE HIP HOP REX CHAPMAN❓❤.y.at
jimmyfallon	Jimmy Fallon	15485441	New York, New York	51188175	10936	astrophysicist
ConanOBrien	Conan O'Brien	115485051	Los Angeles	28385920	1	The voice of the people. Sorry, people.
enews	E! News	2883841	Hollywood, CA	11975674	108745	Your source for entertainment news, celebrities and pop culture.
Twitter	Twitter	783214	everywhere	65293075	5	What's happening?!
CollegeHumor	CollegeHumor	16825289	NYC/LA	882906	3119	
AppleMusic	Apple Music	74580436	Cupertino, CA	10300217	2090	
Vevo	Vevo	28201743	New York, NY	4006517	4582	The official Twitter for Vevo. Add us on Instagram: https://t.co/CaKXGdEnpN
AOL	AOL.com	66237835	New York, NY	162023	3099	Discover today's biggest news stories: https://t.co/WrJKNbEpV2.
RollingStone	Rolling Stone	14780915	New York, New York	6386076	460	The latest news and more from Rolling Stone magazine and https://t.co/yJnSOtbi68. Got a tip? Share it here: https://t.co/4pKrTBMI3A
streetoshi	streeto	436215694	streetoshi.eth	600833	7016	i like art, memes & money. super follow for alpha 🫧
